temperature,pressure,vibration,runtime_hours,machine_age(in_years),failure
94,38,52,1150,3,0
88,28,64,1487,9,1
69,34,78,1678,10,1
78,35,81,1573,5,1
94,34,50,1133,0,0
83,31,71,852,8,0
76,39,56,980,3,0
82,35,62,1069,3,1
91,27,65,1268,4,1
84,31,82,1056,7,0
79,26,56,1315,9,1
66,26,91,618,3,0
95,39,69,990,13,1
73,38,24,920,9,0
90,45,63,947,8,1
68,27,35,1122,4,0
76,38,69,1145,8,1
74,38,64,1192,6,1
88,38,64,1060,13,1
76,39,101,1316,11,1
86,38,57,1032,7,1
96,35,71,749,8,1
82,30,110,1368,1,1
73,41,82,785,9,1
78,20,69,1596,6,0
72,29,72,718,5,0
88,35,61,808,7,1
87,29,78,1268,8,1
84,36,44,1309,9,1
72,29,67,1079,2,0
62,43,52,1224,1,0
78,31,72,1533,5,1
78,30,86,1551,6,1
73,32,42,662,1,0
73,37,64,1492,7,1
78,31,71,827,7,1
88,27,54,1272,2,0
63,32,67,1690,9,1
77,28,77,1078,2,0
89,33,68,842,0,0
62,33,56,979,2,0
80,30,81,781,2,1
81,38,91,1298,6,1
82,41,67,957,10,1
97,23,82,567,8,1
81,46,69,887,10,1
75,35,43,893,8,0
77,36,78,1310,2,1
81,26,83,1318,4,1
73,22,85,1185,6,0
68,46,62,1284,7,0
74,36,109,1126,4,1
79,42,75,1413,2,1
95,39,64,783,0,1
76,28,43,1618,6,0
76,34,49,596,7,0
69,35,53,704,11,0
92,35,43,1360,3,0
84,34,93,1152,5,1
88,39,77,1027,3,1
85,29,28,1458,5,0
75,29,64,1645,8,1
83,32,68,1027,6,1
73,36,64,1404,7,1
85,31,110,1193,6,1
91,33,52,600,4,0
103,40,92,1156,8,1
73,39,62,1428,3,0
92,32,101,949,8,1
89,18,20,1581,4,0
71,27,67,1165,6,0
83,34,98,1439,3,1
93,38,74,1132,1,1
76,29,44,1133,8,0
85,38,34,1300,11,0
80,32,50,639,12,0
84,37,43,926,13,0
75,27,40,1461,7,0
82,33,92,1137,7,1
85,33,63,955,3,0
76,37,48,1213,7,0
74,30,44,1731,7,0
80,36,40,460,4,0
77,27,72,1120,11,1
81,32,68,983,7,1
75,20,50,783,5,0
89,31,92,1754,1,1
83,28,48,1009,13,0
69,38,52,1465,8,0
93,30,67,689,7,0
74,37,45,625,4,0
78,36,70,365,7,0
91,33,39,1414,6,1
74,36,49,1881,6,1
99,48,90,1445,2,1
61,32,66,992,5,0
56,27,70,894,6,0
83,31,54,1160,6,0
69,36,77,1209,3,0
82,38,61,568,1,0
74,34,46,1663,9,1
78,34,89,1072,10,1
83,34,68,1416,7,1
82,20,82,1787,6,1
79,38,60,1689,4,1
77,36,49,771,3,0
79,37,71,784,3,0
75,41,71,571,7,0
91,39,72,1516,6,1
72,41,75,569,5,0
83,35,51,1279,3,0
84,32,96,865,3,1
66,38,75,1122,6,1
84,25,78,859,2,0
91,42,32,879,9,0
79,33,37,1425,8,0
87,37,46,1210,12,1
80,31,35,1054,7,0
82,35,58,1348,8,0
88,40,70,695,7,0
80,29,68,1236,7,0
86,27,75,818,8,1
68,34,106,1120,5,1
82,29,43,1184,12,0
66,43,49,1426,8,1
77,33,81,846,7,0
75,34,53,1059,0,0
